name,year,age_miles,price,id
Toyota Prius c,2013,129623,"$10,985",1
Toyota RAV4,2021,13905,"$39,999",2
Toyota Camry,2018,55036,"$17,995",3
Toyota Corolla,2020,71086,"$16,000",4
Toyota Camry,2020,72283,"$20,355",5
Toyota RAV4,2021,11521,"$23,329",6
Toyota RAV4,2019,49595,"$25,118",7
Toyota Corolla,2020,58204,"$16,988",8
Toyota Corolla,2020,60878,"$16,995",9
Toyota Corolla,2020,56209,"$17,995",10
Toyota Corolla,2021,18141,"$18,995",11
Toyota Corolla,2020,57325,"$17,777",12
Toyota Corolla,2020,66636,"$16,000",13
Toyota Corolla,2020,63030,"$16,975",14
Toyota Prius,2010,179857,"$6,998",15
Toyota Tacoma,2021,1529,"$29,995",16
Toyota Corolla,2021,37009,"$19,298",17
Toyota Corolla,2020,26838,"$18,499",18
Toyota Corolla,2020,42049,"$15,991",19
Toyota Corolla,2021,59519,"$17,997",20
Toyota Corolla,2020,78092,"$17,176",21
Toyota Camry,2011,112704,"$9,500",22
Toyota Corolla,2021,40000,"$19,990",23
Toyota Corolla,2021,23904,"$18,000",24
Toyota Camry,2020,70093,"$17,897",25
Toyota Camry,2020,71499,"$19,000",26
Toyota Corolla,2020,78183,"$16,500",27
Toyota Corolla,2020,52371,"$17,999",28
Toyota Corolla,2020,60821,"$16,823",29
Toyota Corolla,2020,46173,"$19,998",30
Toyota Corolla,2020,69400,"$16,995",31
Toyota Corolla,2019,42119,"$16,991",32
Toyota Corolla,2021,60426,"$16,513",33
Toyota Camry,2020,60959,"$20,850",34
Toyota Corolla,2021,13210,"$20,358",35
Toyota RAV4,2018,84300,"$22,998",36
Toyota Camry,2020,68259,"$20,966",37
Toyota Corolla,2020,62466,"$17,699",38
Toyota Corolla,2020,73306,"$17,000",39
Toyota Corolla,2020,62105,"$18,700",40
Toyota Camry,2020,45751,"$23,804",41
Toyota Camry,2018,41575,"$19,999",42
Toyota Corolla,2021,26736,"$18,985",43
Toyota Camry,2020,60864,"$20,850",44
Toyota Corolla,2020,24156,"$19,886",45
Toyota Corolla,2021,64054,"$15,000",46
Toyota Corolla,2020,61137,"$16,983",47
Toyota Corolla,2021,36746,"$19,161",48
Toyota Corolla,2020,12000,"$19,995",49
Toyota Corolla,2020,80679,"$17,000",50
Toyota Corolla,2020,42233,"$18,800",51
Toyota Corolla,2021,11965,"$20,804",52
Toyota Corolla,2020,24003,"$17,498",53
Toyota Camry,2020,91359,"$17,350",54
Toyota Corolla,2020,39353,"$19,998",55
Toyota Corolla,2021,34760,"$20,455",56
Toyota Corolla,2020,56278,"$19,888",57
Toyota Camry,2018,14870,"$18,500",58
Toyota Corolla,2020,57508,"$17,297",59
Toyota Camry,2020,15450,"$22,593",60
Toyota Camry,2020,65747,"$20,988",61
Toyota Corolla,2020,60740,"$16,903",62
Toyota Corolla,2020,56060,"$16,977",63
Toyota Corolla,2020,61124,"$17,374",64
Toyota Camry,2021,57046,"$22,790",65
Toyota Corolla,2020,4952,"$21,998",66
Toyota Corolla,2021,61159,"$17,311",67
Toyota Corolla,2020,50501,"$20,288",68
Toyota Camry,2019,95239,"$18,599",69
Toyota Corolla,2021,53517,"$20,998",70
Toyota RAV4,2018,50671,"$24,846",71
Toyota Camry,2020,35455,"$22,485",72
Toyota Corolla,2020,59902,"$18,790",73
Toyota Camry,2020,64432,"$19,400",74
Toyota Corolla,2020,48985,"$18,957",75
Toyota Camry,2020,69805,"$20,997",76
Toyota Camry,2020,70344,"$20,627",77
Toyota Camry,2021,35204,"$21,498",78
Toyota Corolla,2020,32876,"$17,799",79
Toyota Camry,2020,62781,"$20,786",80
Toyota Corolla,2013,198937,"$6,695",81
Toyota Corolla,2020,30428,"$20,000",82
Toyota Corolla,2020,32324,"$19,498",83
Toyota Corolla,2020,5746,"$21,974",84
Toyota Corolla,2013,151362,"$8,918",85
Toyota Corolla,2019,51247,"$14,499",86
Toyota Highlander,2020,179024,"$19,990",87
Toyota Camry,2020,70391,"$19,822",88
Toyota Camry,2020,70311,"$19,534",89
Toyota Corolla,2020,32304,"$19,600",90
Toyota Corolla,2020,28905,"$19,400",91
Toyota Corolla,2020,66826,"$17,998",92
Toyota RAV4,2017,100461,"$14,366",93
Toyota Corolla,2020,62705,"$18,939",94
Toyota Camry,2021,55129,"$22,990",95
Toyota Corolla,2020,60858,"$16,980",96
Toyota RAV4,2019,56408,"$22,349",97
Toyota Camry,2020,60467,"$22,200",98
Toyota Camry,2020,60680,"$22,995",99
Toyota Corolla,2020,21833,"$20,800",100
Toyota Camry,2020,55865,"$22,490",101
Toyota Corolla,2020,21884,"$18,474",102
Toyota Corolla,2020,31624,"$21,684",103
Toyota Corolla,2016,113593,"$10,495",104
Toyota Camry,2020,50199,"$20,995",105
Toyota Corolla,2016,86918,"$12,000",106
Toyota Corolla,2021,44294,"$18,999",107
Toyota Camry,2020,66621,"$21,494",108
Toyota Corolla,2020,77187,"$17,990",109
Toyota Corolla,2020,8858,"$19,350",110
Toyota 4Runner,2019,141981,"$27,834",111
Toyota Corolla,2021,40149,"$19,777",112
Toyota Camry,2020,56799,"$23,490",113
Toyota Camry,2020,66026,"$20,988",114
Toyota Camry,2019,68371,"$19,495",115
Toyota Corolla,2021,17806,"$18,272",116
Toyota RAV4,2019,69047,"$24,955",117
Toyota Tacoma,2021,3699,"$29,750",118
Toyota Corolla,2020,26592,"$17,975",119
Toyota Corolla,2020,97756,"$15,994",120
Toyota Corolla,2021,35793,"$19,997",121
Toyota Corolla,2021,30533,"$20,499",122
Toyota Camry,2019,113355,"$13,786",123
Toyota Corolla,2020,46148,"$21,218",124
Toyota Corolla,2020,61123,"$18,494",125
Toyota Camry,2011,77398,"$12,590",126
Toyota Corolla,2021,41281,"$19,032",127
Toyota Corolla,2013,171625,"$6,999",128
Toyota 4Runner,2013,221440,"$14,991",129
Toyota Corolla,2020,63257,"$16,893",130
Toyota Corolla,2020,35040,"$21,490",131
Toyota Corolla,2021,44845,"$15,000",132
Toyota Camry,2018,71745,"$19,995",133
Toyota Corolla,2020,34253,"$17,995",134
Toyota Camry,2019,90849,"$22,857",135
Toyota Corolla,2021,45641,"$17,897",136
Toyota Corolla,2021,45403,"$20,191",137
Toyota Corolla,2021,26265,"$20,999",138
Toyota Camry,2020,64331,"$24,100",139
Toyota Corolla,2020,30002,"$20,998",140
Toyota Corolla,2020,36709,"$20,500",141
Toyota Camry,2019,122813,"$16,990",142
Toyota Tundra,2017,195819,"$20,998",143
Toyota Corolla,2020,62465,"$18,999",144
Toyota Camry,2015,103241,"$13,997",145
Toyota Camry,2019,98572,"$16,999",146
Toyota Camry,2018,35816,"$19,500",147
Toyota Corolla,2022,10966,"$19,694",148
Toyota Camry,2021,49732,"$21,397",149
Toyota Corolla,2020,30062,"$19,495",150
